[2023-01-04T09:19:06.210970+00:00] name.WARNING: Foo [] []
[2023-01-04T09:19:06.242079+00:00] name.ERROR: Bar [] []
[2023-01-04T09:26:37.910450+00:00] name.ERROR: Nutiko klaida! [] []
[2023-01-04T09:26:46.983435+00:00] name.ERROR: Nutiko klaida! [] []
[2023-01-04T09:39:23.737505+00:00] name.ERROR: Nutiko klaida! [] []
[2023-01-04T09:39:24.420639+00:00] name.ERROR: Nutiko klaida! [] []
[2023-01-09T11:02:48.446761+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T11:02:48.670443+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T11:03:01.090867+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T11:03:03.809270+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T11:03:08.251763+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T11:03:08.492663+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T11:03:09.833706+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T11:03:09.882321+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T11:03:10.101202+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T11:03:11.334626+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T11:03:11.383229+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T11:03:11.584853+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T12:11:17.928842+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T12:11:18.005715+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T12:11:18.295768+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T12:11:26.490018+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T12:11:26.759334+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T12:11:28.536022+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T12:11:28.617103+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T12:11:28.863607+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T12:11:30.307348+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T12:11:30.360907+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T12:11:30.613795+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T12:18:09.334966+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T13:01:54.091374+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T13:19:31.147941+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T13:29:20.633083+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T13:37:09.795047+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T14:00:41.061714+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T14:26:42.653751+00:00] Portfolio.WARNING: 404 [] []
